sample_id,source_inventory,latitude,longitude,landslide,copernicus_elevation_m,copernicus_slope_deg,copernicus_aspect_deg,copernicus_plan_curvature,copernicus_profile_curvature,copernicus_twi,gpm_imerg_rainfall_1d_mm,gpm_imerg_rainfall_3d_mm,gpm_imerg_rainfall_7d_mm,gpm_imerg_peak_intensity_mm_h,smap_surface_moisture_m3m3,smap_rootzone_moisture_m3m3,smap_soil_saturation_ratio,sentinel1_sar_vv_db,sentinel1_sar_vh_db,sentinel1_polarimetric_ratio_vh_vv,sentinel1_interferometric_coherence,sentinel2_ndvi,sentinel2_ndwi,sentinel2_bsi,nasa_lhasa_nowcast_score,nasa_lhasa_antecedent_rainfall_index,nasa_lhasa_susceptibility_category,split
APDA-V2-POS-0485,NASA COOLR (Verified Event),25.30021,91.70903,1,1101.2,29.8,184.4,-0.01981,0.03146,6.61,35.0,127.46,371.47,11.42,0.409,0.369,0.756,-7.75,-19.82,-12.07,0.257,0.143,0.65,0.481,0.62,280.13,4.0,train
APDA-V2-NEG-0352,Spatial Negative Buffer Control,27.26274,92.00463,0,3783.5,10.95,13.4,0.00217,-0.00735,6.31,18.93,31.93,49.26,3.15,0.051,0.047,0.12,-14.73,-20.34,-5.61,0.803,0.88,-0.25,-0.2,0.246,29.62,1.0,train
APDA-V2-POS-0770,NASA COOLR (Verified Event),27.18757,88.35552,1,1902.6,33.97,136.8,0.02071,0.04231,5.56,144.1,244.39,373.04,21.53,0.364,0.326,0.68,-7.21,-15.76,-8.55,0.283,0.469,0.61,0.58,0.63,336.1,5.0,train
APDA-V2-NEG-0478,Spatial Negative Buffer Control,27.72158,92.06066,0,2339.1,2.27,151.7,0.01999,0.00096,7.73,6.06,27.93,52.01,1.01,0.146,0.134,0.334,-9.48,-20.12,-10.64,0.766,0.88,-0.086,-0.051,0.133,33.51,1.0,train
APDA-V2-POS-0020,NASA COOLR (Verified Event),25.67375,94.1128,1,1460.5,41.86,177.7,-0.06715,0.00135,6.14,82.75,258.19,405.49,15.35,0.352,0.316,0.68,-8.89,-16.75,-7.87,0.357,0.332,0.352,0.58,0.661,306.62,4.0,train
APDA-V2-NEG-0343,Spatial Negative Buffer Control,25.42543,92.7406,0,983.5,2.48,345.6,-0.01534,0.01242,7.87,16.91,37.25,69.14,2.82,0.082,0.075,0.183,-14.18,-17.56,-3.38,0.92,0.88,-0.063,-0.05,0.262,41.77,2.0,train
APDA-V2-POS-0804,NASA COOLR (Verified Event),25.57031,91.87562,1,1609.3,36.57,55.0,-0.01401,0.03823,5.89,87.96,266.55,344.6,22.0,0.345,0.316,0.68,-9.64,-20.38,-10.75,0.188,0.238,0.65,0.58,0.65,323.65,4.0,train
APDA-V2-NEG-0323,Spatial Negative Buffer Control,24.77446,92.9027,0,1324.3,0.58,27.9,0.03067,-0.00336,9.44,0.87,25.41,33.81,0.14,0.273,0.251,0.578,-17.58,-20.38,-2.81,0.782,0.758,-0.25,-0.094,0.095,14.36,2.0,train
APDA-V2-POS-0373,NASA COOLR (Verified Event),27.58473,91.86644,1,2292.3,45.4,193.4,-0.01928,0.07175,6.05,100.36,198.21,257.17,26.15,0.358,0.323,0.68,-10.88,-15.28,-4.4,0.42,0.48,0.583,0.345,0.817,193.6,5.0,train
APDA-V2-NEG-0210,Spatial Negative Buffer Control,27.46636,88.01569,0,2223.6,5.73,145.8,0.01274,-0.00638,7.12,10.69,31.27,43.97,1.78,0.294,0.27,0.618,-15.0,-19.19,-4.19,0.512,0.88,-0.168,-0.148,0.36,28.29,1.0,train
APDA-V2-NEG-0417,Spatial Negative Buffer Control,25.16221,93.29025,0,1620.4,4.15,311.4,-0.00099,0.01002,7.5,12.92,24.98,27.39,2.15,0.11,0.101,0.256,-11.99,-16.72,-4.73,0.588,0.55,-0.032,-0.192,0.193,13.32,2.0,train
APDA-V2-POS-0347,NASA COOLR (Verified Event),26.01782,93.41913,1,1560.2,28.46,207.3,-0.02388,0.06699,5.68,87.06,153.46,338.65,15.0,0.354,0.309,0.68,-5.86,-12.1,-6.23,0.206,0.39,0.65,0.58,0.81,311.61,4.0,train
APDA-V2-NEG-0773,Spatial Negative Buffer Control,27.53183,93.30347,0,2007.7,8.49,237.4,-0.02535,0.01597,5.9,3.71,13.87,30.32,0.62,0.151,0.139,0.339,-14.62,-20.29,-5.66,0.92,0.88,0.033,-0.105,0.242,13.4,1.0,train
APDA-V2-NEG-0672,Spatial Negative Buffer Control,26.64491,88.43386,0,676.8,2.67,276.1,-0.00419,-0.00222,6.64,0.97,6.38,43.33,0.16,0.236,0.217,0.48,-13.65,-17.82,-4.17,0.465,0.842,0.072,-0.014,0.48,18.49,2.0,train
APDA-V2-NEG-0708,Spatial Negative Buffer Control,27.13802,92.60129,0,3507.3,0.16,327.8,-0.00849,0.02017,9.73,2.42,10.58,32.34,0.4,0.124,0.114,0.261,-14.9,-22.5,-7.6,0.882,0.55,0.023,-0.109,0.221,14.9,2.0,train
APDA-V2-POS-0102,NASA COOLR (Verified Event),24.78339,93.67952,1,1233.3,29.04,183.8,-0.0389,0.08,6.14,113.17,198.52,381.31,18.17,0.351,0.318,0.68,-11.39,-13.61,-2.21,0.42,0.48,0.545,0.58,0.831,296.53,4.0,train
APDA-V2-NEG-0336,Spatial Negative Buffer Control,26.71969,88.44397,0,1073.0,4.01,354.6,-0.00525,0.00849,7.12,6.22,22.02,51.37,1.04,0.385,0.355,0.813,-13.22,-23.82,-10.6,0.889,0.773,-0.16,-0.168,0.311,23.14,2.0,train
APDA-V2-POS-0228,NASA COOLR (Verified Event),24.77948,93.68692,1,402.3,28.23,192.9,-0.07466,0.07377,5.21,180.14,294.77,436.51,28.85,0.47,0.426,0.845,-6.11,-13.85,-7.74,0.395,0.478,0.65,0.58,0.62,366.23,4.0,train
APDA-V2-POS-0690,NASA COOLR (Verified Event),24.79072,93.67459,1,733.1,42.91,152.4,-0.03168,0.02832,5.87,116.05,167.85,238.52,24.8,0.354,0.321,0.682,-7.31,-17.2,-9.89,0.19,0.48,0.34,0.58,0.721,217.53,4.0,train
APDA-V2-NEG-0355,Spatial Negative Buffer Control,23.60553,92.31199,0,1055.6,0.63,128.0,0.0109,0.00643,9.06,1.99,3.57,30.73,0.33,0.167,0.154,0.36,-11.1,-21.45,-10.35,0.811,0.775,0.142,-0.071,0.201,13.77,3.0,train
APDA-V2-POS-0830,NASA COOLR (Verified Event),26.01264,93.42612,1,1356.7,24.93,208.6,-0.04315,0.03693,6.25,59.25,119.04,396.32,11.93,0.428,0.386,0.795,-8.79,-16.02,-7.23,0.153,0.441,0.518,0.525,0.73,360.65,4.0,train
APDA-V2-NEG-0631,Spatial Negative Buffer Control,25.39062,91.52493,0,1946.7,4.72,341.5,0.00218,0.00876,7.27,3.43,12.58,27.04,0.57,0.14,0.129,0.319,-11.79,-23.44,-11.64,0.781,0.819,-0.142,0.024,0.48,15.78,1.0,train
APDA-V2-POS-0843,NASA COOLR (Verified Event),25.75272,91.90734,1,801.1,38.67,160.0,-0.01388,0.04143,5.18,101.71,233.88,287.53,21.23,0.4,0.36,0.713,-3.18,-11.2,-8.02,0.385,0.423,0.65,0.353,0.778,263.49,5.0,train
APDA-V2-NEG-0175,Spatial Negative Buffer Control,25.56076,92.84348,0,1179.9,9.32,3.1,0.01944,-0.0134,6.15,5.32,26.04,37.28,0.89,0.199,0.183,0.447,-15.88,-16.34,-0.46,0.451,0.811,0.037,-0.042,0.127,22.82,1.0,train
APDA-V2-NEG-0894,Spatial Negative Buffer Control,27.47955,88.94664,0,2562.7,8.68,94.5,-0.00564,-0.01114,6.67,22.93,29.88,56.85,3.82,0.297,0.273,0.625,-15.93,-19.07,-3.14,0.92,0.88,0.013,-0.115,0.154,23.13,1.0,train
APDA-V2-NEG-0314,Spatial Negative Buffer Control,25.91783,94.37242,0,1678.7,3.37,162.8,0.00736,-0.01957,6.68,1.72,23.41,60.86,0.29,0.269,0.248,0.592,-17.21,-26.21,-9.01,0.554,0.669,-0.099,-0.039,0.04,28.76,3.0,train
APDA-V2-POS-0059,NASA COOLR (Verified Event),27.09471,93.6165,1,2221.0,38.69,178.3,-0.02066,0.01264,6.19,88.36,148.76,280.37,16.39,0.468,0.423,0.933,-10.03,-15.95,-5.93,0.335,0.244,0.384,0.373,0.668,235.11,5.0,train
APDA-V2-POS-0444,NASA COOLR (Verified Event),25.7554,91.90466,1,1458.4,39.64,146.0,-0.03628,0.05587,6.14,161.49,264.47,370.87,26.5,0.371,0.342,0.68,-7.95,-15.78,-7.83,0.299,0.406,0.65,0.265,0.62,329.81,5.0,train
APDA-V2-NEG-0209,Spatial Negative Buffer Control,25.40017,93.86339,0,641.4,6.85,11.2,0.01346,0.00878,6.87,16.38,30.1,66.99,2.73,0.134,0.123,0.27,-12.5,-20.84,-8.34,0.902,0.776,-0.06,-0.05,0.089,28.32,3.0,train
APDA-V2-NEG-0669,Spatial Negative Buffer Control,24.93409,93.39484,0,1298.8,4.62,33.8,-0.00065,0.00353,7.12,1.36,5.69,12.76,0.23,0.178,0.164,0.369,-14.64,-23.89,-9.25,0.911,0.88,-0.081,-0.126,0.299,6.22,1.0,train
APDA-V2-POS-0597,NASA COOLR (Verified Event),24.83284,92.80223,1,986.2,31.27,209.9,-0.00726,0.04494,6.53,69.3,230.75,475.28,10.12,0.495,0.457,0.923,-8.91,-18.11,-9.2,0.08,0.48,0.598,0.57,0.766,377.11,5.0,train
APDA-V2-NEG-0824,Spatial Negative Buffer Control,25.46412,90.92597,0,1423.6,0.8,81.7,0.00654,-0.00556,9.15,9.18,22.68,36.68,1.53,0.197,0.181,0.453,-13.65,-25.3,-11.66,0.894,0.73,0.077,-0.043,0.247,20.6,1.0,train
APDA-V2-NEG-0430,Spatial Negative Buffer Control,25.92007,91.97665,0,1347.5,2.16,354.1,0.0169,0.01566,7.74,11.02,28.67,57.24,1.84,0.217,0.2,0.492,-14.76,-20.65,-5.89,0.848,0.88,-0.196,-0.109,0.397,30.62,1.0,train
APDA-V2-POS-0589,NASA COOLR (Verified Event),25.53345,91.86871,1,626.9,31.27,212.5,-0.01508,0.06711,6.41,83.17,199.04,321.53,16.37,0.477,0.437,0.87,-4.58,-16.77,-12.18,0.105,0.226,0.288,0.58,0.82,283.44,5.0,train
APDA-V2-POS-0199,NASA COOLR (Verified Event),26.17913,91.75961,1,1860.0,18.5,201.8,0.00359,0.01109,6.77,73.36,141.72,230.28,15.36,0.415,0.366,0.824,-13.39,-12.2,1.19,0.218,0.12,0.65,0.58,0.62,173.78,4.0,train
APDA-V2-POS-0858,NASA COOLR (Verified Event),24.7823,93.68939,1,815.9,39.89,184.6,-0.02343,0.04396,5.8,52.56,203.58,294.44,12.89,0.477,0.429,0.874,-8.93,-22.51,-13.58,0.42,0.48,0.65,0.541,0.62,235.86,4.0,train
APDA-V2-POS-0703,NASA COOLR (Verified Event),26.16694,91.75417,1,1723.6,29.3,253.7,-0.02059,0.02809,6.64,44.6,111.6,267.55,13.03,0.445,0.406,0.869,-9.21,-14.75,-5.53,0.119,0.48,0.413,0.578,0.888,209.37,5.0,train
APDA-V2-NEG-0083,Spatial Negative Buffer Control,25.85829,93.9042,0,1802.2,1.46,93.4,-0.00016,-0.00112,7.38,10.02,31.33,70.38,1.67,0.097,0.089,0.206,-13.44,-22.47,-9.03,0.604,0.615,-0.048,-0.072,0.24,32.18,2.0,train
APDA-V2-NEG-0404,Spatial Negative Buffer Control,25.4678,90.96595,0,1417.2,14.09,122.1,-0.0113,0.02275,5.79,0.8,15.46,30.65,0.13,0.285,0.262,0.613,-14.54,-22.3,-7.77,0.45,0.665,-0.007,-0.058,0.182,19.88,2.0,train
APDA-V2-POS-0825,NASA COOLR (Verified Event),25.57033,91.88198,1,1224.3,36.72,221.7,-0.06621,-0.00016,6.08,65.2,163.68,438.67,16.47,0.496,0.447,0.922,-9.52,-11.51,-1.99,0.084,0.236,0.65,0.58,0.62,376.67,5.0,train
APDA-V2-POS-0350,NASA COOLR (Verified Event),27.19384,88.35078,1,2439.7,34.59,136.5,-0.01222,0.05905,5.43,67.21,224.73,505.51,12.22,0.482,0.434,0.846,-7.63,-18.31,-10.67,0.216,0.134,0.575,0.58,0.971,390.31,5.0,train
APDA-V2-POS-0126,NASA COOLR (Verified Event),27.03734,88.25814,1,3463.7,29.1,138.5,-0.04928,0.05334,6.11,77.54,267.09,466.7,14.89,0.499,0.462,0.934,-8.98,-17.34,-8.36,0.42,0.312,0.551,0.406,0.62,388.99,5.0,train
APDA-V2-POS-0592,NASA COOLR (Verified Event),25.43997,92.18883,1,1227.1,39.36,210.5,-0.02486,0.05503,5.43,48.06,170.73,318.55,11.0,0.474,0.423,0.845,-10.14,-17.19,-7.05,0.224,0.146,0.461,0.58,0.902,269.79,5.0,train
APDA-V2-NEG-0784,Spatial Negative Buffer Control,25.57283,93.45702,0,1310.5,11.98,206.6,0.01655,0.00827,6.27,10.54,32.15,38.93,1.76,0.133,0.122,0.286,-17.26,-26.22,-8.96,0.751,0.643,-0.25,-0.14,0.44,20.39,1.0,train
APDA-V2-POS-0849,NASA COOLR (Verified Event),24.83412,92.79934,1,416.6,36.58,226.5,-0.03395,0.05495,4.79,117.55,174.2,308.24,32.1,0.452,0.415,0.824,-10.51,-15.18,-4.67,0.167,0.48,0.37,0.58,0.849,240.55,4.0,train
APDA-V2-POS-0502,NASA COOLR (Verified Event),23.72896,92.7183,1,1036.2,24.37,149.0,-0.04738,0.02198,6.19,63.61,234.14,469.43,12.59,0.44,0.397,0.882,-9.85,-13.84,-3.99,0.21,0.48,0.586,0.58,0.872,376.3,5.0,train
APDA-V2-NEG-0525,Spatial Negative Buffer Control,26.63011,88.06574,0,1922.3,3.62,278.2,-0.01198,0.00383,7.38,0.98,10.36,25.74,0.16,0.294,0.27,0.643,-14.35,-21.97,-7.62,0.642,0.698,-0.061,-0.072,0.237,12.9,1.0,train
APDA-V2-POS-0405,NASA COOLR (Verified Event),25.5702,91.88714,1,1651.5,29.99,177.1,-0.01321,0.01252,6.12,92.37,296.64,530.96,21.87,0.519,0.474,0.942,-12.95,-17.42,-4.47,0.42,0.452,0.522,0.58,0.959,503.19,5.0,train
APDA-V2-NEG-0725,Spatial Negative Buffer Control,25.64916,93.83917,0,1243.3,0.46,260.9,0.00667,-0.00893,8.77,0.09,4.79,6.83,0.01,0.071,0.065,0.156,-16.25,-20.7,-4.45,0.758,0.88,0.05,-0.06,0.28,4.1,1.0,train
APDA-V2-POS-0771,NASA COOLR (Verified Event),27.35125,92.42164,1,2350.9,44.2,221.4,-0.04691,0.02164,5.94,122.12,185.68,393.08,20.68,0.366,0.329,0.68,-10.25,-9.36,0.88,0.42,0.402,0.65,0.58,0.713,310.73,4.0,train
APDA-V2-POS-0885,NASA COOLR (Verified Event),25.75367,91.90095,1,1446.4,39.15,335.0,-0.05861,0.06122,5.49,97.2,227.17,383.63,19.13,0.362,0.318,0.686,-8.98,-19.69,-10.71,0.081,0.432,0.394,0.505,0.819,354.1,4.0,train
APDA-V2-NEG-0882,Spatial Negative Buffer Control,27.33294,87.82433,0,3354.7,1.6,95.5,0.01607,0.01182,7.88,26.46,32.07,55.63,4.41,0.066,0.061,0.145,-18.22,-24.2,-5.99,0.784,0.55,-0.121,-0.159,0.48,35.01,2.0,train
APDA-V2-POS-0855,NASA COOLR (Verified Event),27.35153,92.4265,1,2463.5,37.05,217.3,0.00535,0.05961,6.28,80.25,225.96,515.87,13.69,0.512,0.476,0.959,-7.15,-19.17,-12.02,0.21,0.32,0.18,0.475,0.84,431.05,4.0,train
APDA-V2-NEG-0272,Spatial Negative Buffer Control,25.95588,93.96596,0,993.1,8.71,194.4,0.01325,-0.00965,5.4,2.0,12.05,31.05,0.33,0.147,0.136,0.318,-15.96,-21.52,-5.57,0.829,0.74,-0.188,-0.044,0.235,18.99,2.0,train
APDA-V2-NEG-0709,Spatial Negative Buffer Control,27.72249,91.43983,0,2216.2,1.39,23.7,0.0015,0.00936,7.03,14.1,26.31,63.8,2.35,0.062,0.057,0.137,-15.82,-17.0,-1.18,0.719,0.742,-0.187,-0.068,0.261,33.67,1.0,train
APDA-V2-POS-0897,NASA COOLR (Verified Event),27.35435,92.41715,1,2411.2,33.84,266.2,-0.07584,0.01767,5.63,67.06,226.97,299.21,16.15,0.421,0.384,0.754,-12.36,-15.47,-3.11,0.203,0.352,0.65,0.58,0.755,243.57,5.0,train
APDA-V2-NEG-0236,Spatial Negative Buffer Control,25.45563,90.32732,0,1299.9,7.07,299.0,0.00312,0.00377,6.77,0.64,8.85,18.41,0.11,0.2,0.184,0.457,-15.38,-14.88,0.5,0.821,0.55,-0.017,0.016,0.107,7.44,2.0,train
APDA-V2-NEG-0129,Spatial Negative Buffer Control,25.34942,91.63883,0,1590.4,6.45,247.7,0.01729,0.02159,6.18,4.91,5.25,26.91,0.82,0.109,0.1,0.247,-14.67,-20.71,-6.04,0.683,0.632,-0.045,0.024,0.48,17.34,1.0,train
APDA-V2-NEG-0156,Spatial Negative Buffer Control,25.00862,92.536,0,678.7,2.27,267.1,-0.00952,0.00477,7.95,16.26,18.72,35.41,2.71,0.307,0.282,0.665,-14.62,-16.44,-1.82,0.52,0.693,-0.082,-0.077,0.48,16.5,1.0,train
APDA-V2-NEG-0025,Spatial Negative Buffer Control,25.72829,91.86004,0,914.5,15.19,88.8,0.0129,-0.00446,5.76,5.13,9.08,42.92,0.85,0.111,0.102,0.243,-14.06,-21.38,-7.32,0.774,0.853,-0.121,-0.193,0.151,19.29,1.0,train
APDA-V2-NEG-0442,Spatial Negative Buffer Control,25.67151,92.21939,0,1131.2,7.51,211.5,-0.00218,-0.01283,6.24,0.8,15.83,51.81,0.13,0.247,0.227,0.54,-13.16,-17.37,-4.21,0.672,0.784,-0.087,-0.064,0.48,30.14,1.0,train
APDA-V2-NEG-0804,Spatial Negative Buffer Control,25.34756,92.11203,0,1055.9,2.49,176.1,-0.00674,0.01647,6.7,8.04,9.32,24.64,1.34,0.164,0.151,0.379,-16.84,-23.9,-7.06,0.813,0.88,-0.155,-0.114,0.046,14.5,1.0,train
APDA-V2-NEG-0660,Spatial Negative Buffer Control,24.96874,93.14607,0,976.4,15.7,8.4,-0.00744,0.00078,6.24,3.58,7.48,23.95,0.6,0.154,0.142,0.353,-15.63,-21.3,-5.67,0.894,0.88,0.113,-0.014,0.22,10.64,3.0,train
APDA-V2-NEG-0182,Spatial Negative Buffer Control,26.75878,88.50243,0,620.9,4.08,142.0,-0.00536,-0.0017,6.55,1.03,7.14,39.78,0.17,0.133,0.122,0.282,-13.69,-19.1,-5.41,0.638,0.606,-0.044,-0.045,0.183,20.6,2.0,train
APDA-V2-NEG-0676,Spatial Negative Buffer Control,25.15649,92.33564,0,1833.0,4.57,309.4,-0.00248,0.00973,7.49,1.17,21.42,34.39,0.2,0.168,0.155,0.392,-14.6,-19.43,-4.83,0.92,0.757,-0.003,-0.093,0.351,16.82,2.0,train
APDA-V2-NEG-0779,Spatial Negative Buffer Control,25.00556,91.46004,0,752.1,4.45,72.6,0.00098,-0.01595,7.41,17.43,39.7,50.23,2.9,0.115,0.106,0.267,-17.45,-24.6,-7.15,0.768,0.708,-0.105,-0.118,0.314,32.44,1.0,train
APDA-V2-POS-0386,NASA COOLR (Verified Event),25.07357,93.16103,1,1157.6,41.6,190.1,-0.06385,0.06662,5.86,74.12,145.82,359.96,13.83,0.348,0.318,0.68,-10.03,-15.72,-5.69,0.28,0.48,0.65,0.58,0.698,281.21,5.0,train
APDA-V2-NEG-0033,Spatial Negative Buffer Control,28.12155,88.7132,0,1456.3,0.31,61.5,-0.00728,-0.00383,9.72,14.98,37.29,71.95,2.5,0.098,0.09,0.202,-18.39,-19.53,-1.14,0.649,0.713,-0.025,-0.167,0.259,31.1,2.0,train
APDA-V2-POS-0164,NASA COOLR (Verified Event),27.10021,93.61975,1,1885.4,36.52,163.7,-0.08485,0.04369,6.1,51.01,134.08,334.06,10.28,0.442,0.404,0.864,-8.24,-17.29,-9.06,0.178,0.48,0.632,0.325,0.734,258.81,4.0,train
APDA-V2-NEG-0027,Spatial Negative Buffer Control,25.40337,91.58555,0,1376.7,9.41,6.3,0.00649,-0.00414,5.82,15.1,26.94,39.83,2.52,0.233,0.215,0.477,-9.89,-21.61,-11.71,0.498,0.845,-0.227,-0.029,0.123,17.97,1.0,train
APDA-V2-POS-0399,NASA COOLR (Verified Event),27.03081,88.26854,1,1864.4,32.87,235.9,-0.07487,0.05701,6.16,147.04,284.19,386.0,22.53,0.414,0.375,0.839,-7.97,-15.17,-7.2,0.182,0.12,0.65,0.455,0.891,355.76,4.0,train
APDA-V2-POS-0461,NASA COOLR (Verified Event),25.67309,94.11206,1,1193.0,43.65,150.7,-0.05073,0.08138,5.62,103.42,244.52,319.66,14.06,0.402,0.372,0.726,-10.86,-15.53,-4.66,0.08,0.248,0.641,0.513,0.936,294.16,5.0,train
APDA-V2-POS-0122,NASA COOLR (Verified Event),27.09593,93.61271,1,3756.2,24.56,94.2,-0.0446,0.0308,6.64,178.97,312.17,495.44,24.98,0.519,0.481,0.957,-10.24,-15.62,-5.39,0.101,0.222,0.65,0.469,0.736,389.26,5.0,train
APDA-V2-POS-0664,NASA COOLR (Verified Event),27.32829,88.61808,1,2260.7,35.1,157.5,-0.01993,0.03173,5.46,99.81,167.8,281.99,13.38,0.344,0.315,0.68,-8.27,-14.87,-6.6,0.42,0.29,0.65,0.58,0.888,237.41,4.0,train
APDA-V2-NEG-0270,Spatial Negative Buffer Control,25.07135,93.37746,0,1571.1,1.56,5.9,0.00838,-0.00875,8.23,4.51,15.66,42.1,0.75,0.182,0.168,0.424,-10.48,-19.45,-8.96,0.733,0.813,0.012,-0.111,0.323,23.44,2.0,train
APDA-V2-NEG-0400,Spatial Negative Buffer Control,25.84123,91.53474,0,1396.2,4.11,355.8,-0.00026,0.00666,5.93,2.13,24.88,59.31,0.35,0.259,0.238,0.584,-11.11,-25.89,-14.79,0.543,0.675,-0.119,-0.127,0.02,36.06,2.0,train
APDA-V2-POS-0639,NASA COOLR (Verified Event),24.83043,92.79807,1,1343.2,31.55,151.6,-0.05187,0.02893,5.49,116.9,247.34,491.29,24.1,0.385,0.343,0.723,-13.7,-8.94,4.76,0.218,0.419,0.495,0.58,0.955,431.48,4.0,train
APDA-V2-NEG-0880,Spatial Negative Buffer Control,24.17219,93.11942,0,720.8,16.0,197.4,-0.00012,0.0178,4.81,1.3,16.27,27.23,0.22,0.229,0.211,0.505,-17.94,-22.02,-4.09,0.462,0.591,-0.167,-0.082,0.48,16.31,2.0,train
APDA-V2-NEG-0715,Spatial Negative Buffer Control,25.66591,92.03899,0,816.7,1.44,54.1,0.00592,-0.00545,8.39,1.58,21.3,26.02,0.26,0.094,0.086,0.198,-13.04,-24.69,-11.65,0.871,0.874,-0.167,-0.149,0.48,12.64,2.0,train
APDA-V2-POS-0827,NASA COOLR (Verified Event),25.06847,93.15704,1,601.6,29.74,231.7,-0.01362,0.02396,6.52,66.71,155.98,429.64,13.54,0.384,0.348,0.732,-7.99,-17.36,-9.37,0.158,0.293,0.65,0.398,0.948,348.72,4.0,train
APDA-V2-POS-0657,NASA COOLR (Verified Event),25.56449,91.88205,1,1670.0,35.85,176.8,-0.11508,0.09121,5.62,61.01,228.95,488.06,9.64,0.364,0.332,0.745,-12.7,-15.17,-2.47,0.104,0.349,0.631,0.58,0.784,375.06,5.0,train
APDA-V2-POS-0436,NASA COOLR (Verified Event),27.57657,91.86186,1,3057.2,24.28,144.6,-0.0589,0.02403,6.5,52.77,249.05,471.58,14.24,0.382,0.341,0.716,-8.67,-14.44,-5.77,0.42,0.366,0.351,0.58,0.62,366.34,5.0,train
APDA-V2-NEG-0883,Spatial Negative Buffer Control,25.70428,92.00968,0,1170.1,9.61,201.2,0.00378,-0.00936,5.05,4.19,15.31,28.55,0.7,0.079,0.072,0.158,-17.91,-26.36,-8.44,0.819,0.55,0.024,-0.033,0.352,13.74,2.0,train
APDA-V2-NEG-0609,Spatial Negative Buffer Control,27.19224,88.57085,0,2342.3,0.45,31.3,0.00893,-0.00758,8.85,1.46,12.83,25.6,0.24,0.434,0.399,0.919,-10.65,-18.14,-7.49,0.631,0.652,-0.174,-0.174,0.055,15.26,1.0,train
APDA-V2-POS-0801,NASA COOLR (Verified Event),25.7571,91.90825,1,1864.8,40.33,127.8,-0.00153,0.04838,5.76,113.33,226.59,286.04,15.13,0.352,0.323,0.725,-10.21,-15.63,-5.42,0.42,0.469,0.489,0.471,0.796,262.88,5.0,train
APDA-V2-NEG-0528,Spatial Negative Buffer Control,25.88678,92.09611,0,996.2,3.17,37.0,0.00213,-0.01231,6.03,2.24,5.74,25.06,0.37,0.023,0.021,0.051,-13.08,-15.18,-2.09,0.45,0.88,-0.061,0.029,0.375,11.39,1.0,train
APDA-V2-NEG-0637,Spatial Negative Buffer Control,24.74615,93.39812,0,1394.5,7.03,357.7,0.00438,-0.00509,6.86,0.33,24.26,51.36,0.06,0.245,0.226,0.51,-13.8,-20.62,-6.82,0.744,0.88,-0.053,-0.071,0.129,20.57,1.0,train
APDA-V2-NEG-0636,Spatial Negative Buffer Control,25.26483,92.02023,0,1293.9,14.57,255.2,-0.00358,0.00977,5.56,6.47,9.19,40.26,1.08,0.159,0.146,0.356,-11.08,-17.2,-6.12,0.581,0.724,-0.036,-0.087,0.233,18.63,3.0,train
APDA-V2-POS-0488,NASA COOLR (Verified Event),25.60281,90.57797,1,1267.1,38.29,32.3,-0.0437,0.07378,6.33,91.73,230.66,517.76,16.85,0.336,0.306,0.68,-12.64,-13.73,-1.1,0.281,0.12,0.528,0.552,0.683,467.68,4.0,train
APDA-V2-POS-0637,NASA COOLR (Verified Event),25.17837,93.02668,1,1375.1,31.94,230.6,0.00416,-0.00282,5.21,181.46,367.6,609.2,35.76,0.384,0.342,0.68,-11.47,-18.37,-6.9,0.184,0.312,0.65,0.58,0.62,508.75,4.0,train
APDA-V2-POS-0798,NASA COOLR (Verified Event),27.03159,88.26217,1,1715.6,39.29,329.8,-0.0063,0.05663,5.86,87.02,197.47,464.46,13.41,0.501,0.457,0.904,-5.09,-13.05,-7.96,0.162,0.319,0.552,0.58,0.62,407.06,5.0,train
APDA-V2-POS-0533,NASA COOLR (Verified Event),25.07259,93.15927,1,1321.1,30.85,289.0,-0.05363,0.06299,6.44,105.49,169.23,333.86,18.98,0.492,0.444,0.905,-7.78,-14.7,-6.92,0.269,0.132,0.42,0.58,0.729,251.42,4.0,train
APDA-V2-NEG-0164,Spatial Negative Buffer Control,26.91567,93.84238,0,1337.0,3.33,113.0,-0.00454,-0.02952,6.56,12.39,21.5,54.36,2.06,0.182,0.167,0.388,-14.62,-23.45,-8.82,0.846,0.558,-0.031,-0.12,0.148,28.76,1.0,train
APDA-V2-NEG-0019,Spatial Negative Buffer Control,23.89956,92.37441,0,1073.1,1.96,165.5,-0.00035,-0.01025,7.1,2.17,15.0,32.66,0.36,0.181,0.166,0.364,-11.21,-21.83,-10.61,0.807,0.746,-0.013,-0.046,0.076,15.7,2.0,train
APDA-V2-NEG-0746,Spatial Negative Buffer Control,25.81562,93.82982,0,1493.7,0.93,320.7,-0.00765,-0.00577,8.92,0.76,3.33,33.72,0.13,0.242,0.223,0.519,-15.31,-22.02,-6.71,0.639,0.88,-0.075,-0.084,0.086,16.85,1.0,train
APDA-V2-POS-0233,NASA COOLR (Verified Event),25.29202,91.7116,1,1913.0,30.4,228.7,-0.03812,0.05884,6.25,39.93,136.2,290.31,13.52,0.466,0.419,0.885,-12.38,-19.96,-7.58,0.24,0.374,0.575,0.543,0.845,223.19,5.0,train
